GWAS Trait	Gene	MR_outcome	MR_exposure	method	nsnp	b	se	pval	MR_dir	MR_source	MR_QTL
SCZ	PUS1	SCZ	PUS1	Wald ratio	1	0.101089085	0.039672891	1.08E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	SLX1A	SCZ	SLX1A	Wald ratio	1	-0.126921873	0.049815621	1.08E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	DIRC1	SCZ	DIRC1	Wald ratio	1	0.066614365	0.026151015	1.09E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	ZCCHC7	SCZ	ZCCHC7	Wald ratio	1	-0.098707319	0.038760464	1.09E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	MAPK11	SCZ	MAPK11	Wald ratio	1	-0.099500296	0.039110558	1.10E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	CBS	SCZ	CBS	Wald ratio	1	0.027139887	0.010668559	1.10E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	CLEC18A	SCZ	CLEC18A	Inverse variance weighted	2	0.030044594	0.01181946	1.10E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	AP4S1	SCZ	AP4S1	Wald ratio	1	0.121301908	0.047725341	1.10E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	DMAP1	SCZ	DMAP1	Wald ratio	1	0.052007717	0.020466247	1.10E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	LPCAT4	SCZ	LPCAT4	Wald ratio	1	0.143653863	0.056578669	1.11E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	MRPS33	SCZ	MRPS33	Wald ratio	1	0.091227899	0.035940776	1.11E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	HIF1AN	SCZ	HIF1AN	Wald ratio	1	-0.091330119	0.036004487	1.12E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	SOSTDC1	SCZ	SOSTDC1	Wald ratio	1	-0.106235342	0.041880478	1.12E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	POLR1D	SCZ	POLR1D	Wald ratio	1	-0.059455528	0.0234389	1.12E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	TRIT1	SCZ	TRIT1	Wald ratio	1	-0.040247267	0.015870821	1.12E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	MYO1H	SCZ	MYO1H	Wald ratio	1	0.081937392	0.032322443	1.12E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	DDX5	SCZ	DDX5	Wald ratio	1	0.062606683	0.024722854	1.13E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	CEP95	SCZ	CEP95	Wald ratio	1	-0.106001906	0.041859264	1.13E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	KLRG2	SCZ	KLRG2	Wald ratio	1	-0.08657437	0.034191841	1.13E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
